TIC,asassn_queried_ok,asassn_match,asassn_name,asassn_type,asassn_period,asassn_error
102334361,True,False,,,,
111149941,True,False,,,,
118352931,True,False,,,,
119459681,True,False,,,,
12080822,True,False,,,,
122328031,True,False,,,,
122792457,True,False,,,,
125356758,True,False,,,,
125900581,True,False,,,,
1326118009,True,False,,,,
136191877,True,False,,,,
137091217,True,False,,,,
138407805,True,False,,,,
139716826,True,False,,,,
139853641,True,False,,,,
14001269,True,False,,,,
142837818,True,False,,,,
142841561,True,False,,,,
144079288,True,False,,,,
145593829,True,False,,,,
145599042,True,False,,,,
145905547,True,False,,,,
146204013,True,False,,,,
146608979,True,False,,,,
153080360,True,False,,,,
153336799,True,False,,,,
154831114,True,False,,,,
158329671,True,False,,,,
160130060,True,False,,,,
163249597,True,False,,,,
180251856,True,False,,,,
180448842,True,False,,,,
181674559,True,False,,,,
183517039,True,False,,,,
183663600,True,False,,,,
185326770,True,False,,,,
186143099,True,False,,,,
19938261,True,False,,,,
203279104,True,False,,,,
207754858,True,False,,,,
20817046,True,False,,,,
208358448,True,False,,,,
216742782,True,False,,,,
220148279,True,False,,,,
22206966,True,False,,,,
222712042,True,False,,,,
224835221,True,False,,,,
230275619,True,False,,,,
231260455,True,False,,,,
231528689,True,False,,,,
23259249,True,False,,,,
233415701,True,False,,,,
234073743,True,False,,,,
237115819,True,False,,,,
241818542,True,False,,,,
247647672,True,False,,,,
250630820,True,False,,,,
253168781,True,False,,,,
255964136,True,False,,,,
262775292,True,False,,,,
273158289,True,False,,,,
278233128,True,False,,,,
280490331,True,False,,,,
281176866,True,False,,,,
281286325,True,False,,,,
282345650,True,True,J190138.83+183821.7,SR,71.094,
285526589,True,False,,,,
287846593,True,False,,,,
289799635,True,False,,,,
290958279,True,False,,,,
29216744,True,False,,,,
294657132,True,False,,,,
294852916,True,False,,,,
29495157,True,False,,,,
298215657,True,False,,,,
303470667,True,False,,,,
304809821,True,False,,,,
304889252,True,False,,,,
307392778,True,False,,,,
308474943,True,False,,,,
309240602,True,False,,,,
309672362,True,False,,,,
309674872,True,False,,,,
31123635,True,False,,,,
313356920,True,False,,,,
313569577,True,False,,,,
315702957,True,False,,,,
316236490,True,False,,,,
31717527,True,False,,,,
318928219,True,False,,,,
320474615,True,False,,,,
323775614,True,False,,,,
323961620,True,False,,,,
326260517,True,False,,,,
329832608,True,False,,,,
330234939,True,False,,,,
330901906,True,False,,,,
33091659,True,False,,,,
331023501,True,False,,,,
332950091,True,False,,,,
333584947,True,False,,,,
333745611,True,False,,,,
335217393,True,False,,,,
34044618,True,False,,,,
341194762,True,False,,,,
341797047,True,False,,,,
343034455,True,False,,,,
3516691,True,False,,,,
355981677,True,False,,,,
35727587,True,False,,,,
35877600,True,False,,,,
361568408,True,False,,,,
362115607,True,False,,,,
363736935,True,False,,,,
366749440,True,False,,,,
367301645,True,False,,,,
367854604,False,False,,,,"HTTPSConnectionPool(host='vizier.cds.unistra.fr', port=443): Max retries exceeded with url: /viz-bin/votable (Caused by NewConnectionError(""HTTPSConnection(host='vizier.cds.unistra.fr', port=443): Fai"
374684661,True,False,,,,
378067576,False,False,,,,"HTTPSConnectionPool(host='vizier.cds.unistra.fr', port=443): Max retries exceeded with url: /viz-bin/votable (Caused by NewConnectionError(""HTTPSConnection(host='vizier.cds.unistra.fr', port=443): Fai"
382024699,True,False,,,,
386140833,True,False,,,,
386206443,True,False,,,,
387142107,True,False,,,,
393915029,True,False,,,,
394085020,True,False,,,,
394420407,True,False,,,,
398499986,True,False,,,,
400910916,True,False,,,,
401120789,True,False,,,,
402613330,True,False,,,,
403630242,True,False,,,,
403645199,True,True,J190522.48-013353.5,L,--,
410918190,True,False,,,,
411434067,True,False,,,,
411513993,True,True,J121342.82-591513.0,L,--,
411731832,True,False,,,,
412633548,True,False,,,,
414232493,True,False,,,,
417861102,True,False,,,,
421566477,True,False,,,,
42217803,True,False,,,,
426236217,True,False,,,,
427332229,True,False,,,,
43333100,True,False,,,,
433770378,True,True,J183642.55-152946.5,SR,5.8246,
43690105,True,False,,,,
437150434,True,False,,,,
43901938,True,False,,,,
441849650,True,False,,,,
44448395,True,False,,,,
446487595,True,False,,,,
449837951,True,False,,,,
450445835,True,False,,,,
453937711,True,False,,,,
458301068,True,False,,,,
458340718,True,False,,,,
459536921,True,False,,,,
462781855,True,False,,,,
46387913,False,False,,,,"HTTPSConnectionPool(host='vizier.cds.unistra.fr', port=443): Max retries exceeded with url: /viz-bin/votable (Caused by NameResolutionError(""HTTPSConnection(host='vizier.cds.unistra.fr', port=443): Fa"
464366239,False,False,,,,"HTTPSConnectionPool(host='vizier.cds.unistra.fr', port=443): Max retries exceeded with url: /viz-bin/votable (Caused by NameResolutionError(""HTTPSConnection(host='vizier.cds.unistra.fr', port=443): Fa"
464765654,True,False,,,,
465334376,True,False,,,,
465390148,True,False,,,,
466062107,True,False,,,,
466508331,True,False,,,,
467213914,True,False,,,,
467851846,False,False,,,,"HTTPSConnectionPool(host='vizier.cds.unistra.fr', port=443): Max retries exceeded with url: /viz-bin/votable (Caused by NameResolutionError(""HTTPSConnection(host='vizier.cds.unistra.fr', port=443): Fa"
469212596,True,False,,,,
469308938,True,True,J095537.97-563202.8,SR,22.325,
47929727,True,False,,,,
55462736,True,False,,,,
55587172,True,False,,,,
59656329,True,False,,,,
60234259,True,False,,,,
60946457,True,False,,,,
66732476,True,False,,,,
67408849,True,False,,,,
68304700,True,False,,,,
72005925,True,False,,,,
73561499,True,False,,,,
